Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20120927FSPA17_1,20120918OCUP01,2012-09-18,BR,Bancos,Trabalhadores,,Patronato,Comércio e Serviço,Reajuste_salarial,,Nacional,99,Estados,99,2012-09-26,Federação Nacional dos Bancos,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20121004FSPA11_1,20121003TERR01,2013-10-03,MA,Estrada_de_ferro_Carajas,Indígenas,,Gov. Federal,,Protestar_contra_portaria_da_AGU_que_autoriza_intervencoes_sem_do_governo-em_terras_indigenas,,Local,1,Cidades,200,,,,,Bloqueio de Estradas/Piquete,NM,NM,Não,Não,NM,NM,NM
20121009FSPC07_1,20120905OCUP01,2012-09-05,São Paulo,Sao-Paulo,Trabalhadores,,Gov. Municipal,Não Identificado,Nada_consta,,Local,1,Capitais,99,2012-09-05,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20121011FSPB08_1,20121010OCUP02,2012-10-10,Jundiaí,Foxconn,Trabalhadores,,Patronato,Indústria,Protestar_contra_a_comida_fornecida_pela_empresa,,Local,1,Cidades,800,2012-10-10,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20121011FSPC09_1,20121010OCUP01,2012-10-10,São Paulo,Sao_Paulo,Trabalhadores,,Outros Grupos da Sociedade,Profissional Liberal,Protestar_contra_os_planos_de_saude,,Local,1,Capitais,3500,,Associação Paulista de Medicina,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20121012FSPB04_1,20121011BSHT01,2012-10-11,PA,Usina,Indígenas,Parentes/Familiares,Sociedade,,Protestar_em_defesa_do_xingu,,Local,1,Cidades,200,,Movimento Xingu Vivo,,,Ocupação de Terra,NM,NM,NM,NM,NM,NM,NM
20121012FSPC01_1,20121011TERR01,2012-10-11,São Paulo,Sao_Paulo,Sem Teto,,Gov. Municipal,,Moradia,,Local,1,Capitais,12,,,,,Ocupação de Espaço Público,NM,NM,NM,NM,NM,NM,NM
20121013FSPA04_1,20121012NMEN01,2012-10-12,Brasília,STF,Não Mencionada,,Judiciário,,Parabenizar_o_STF_pelo_julgamento_do_mensalao,,Local,1,Capitais,99,2012-10-12,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20121016FSPC06_1,20120807OCUP01,2012-08-07,BR,policias_federais,Trabalhadores,,Gov. Federal,Forças de segurança e familiares,Reajuste_salarial,"Reestruturacao_de_carreira, substituicao_do_diretor_geral_da_pf",Nacional,23,Estados,99,2012-10-15,,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20121016FSPC08_1,20121015IDEN01,2012-10-15,Brasília,Brasília,Estudante,,Sociedade,,Protestar_contra_cotas_nas_universidades_federais,,Local,1,Capitais,99,2012-10-15,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20121017FSPC07_1,20121016OCUP01,2012-10-16,São Paulo,Praca_da_se,Trabalhadores,,Gov. Municipal,Forças de segurança e familiares,Protestar-contra-morte_de_policiais,,Local,1,Capitais,99,2012-10-16,Federação Interestadual dos Policiais Civis da Região Sudeste,,,Intervenção Artistíca/Simbólica,NM,NM,NM,NM,NM,NM,NM
20121019FSPA14_1,20121018TERR01,2012-10-18,Governador Valadares,Funai,Indígenas,,Gov. Federal,,Protestar_pela_demissao_da_administracao_atual,,Local,1,Cidades,99,,,,,Ocupação de Órgão Público,NM,NM,Sim,Não,NM,NM,NM
20121021FSPA11_1,20121020NMEN01,2012-10-20,São Paulo,predio_que_mora_o_militar_homero_cesar_machado,Não Mencionada,,Personalidades/Indivíduos Públicos,,Protestar_contra_militar_dito_participante_de_tortura,,Local,1,Capitais,60,2012-10-20,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20121022FSPA06_1,20121021POLI01,2012-10-21,São Paulo,Praca-roosvelt,Militantes de Partidos,,Personalidades/Indivíduos Públicos,,Protestar_contra_kassab,,Local,1,Capitais,2000,2012-10-21,Partido dos Trabalhadores,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20121024FSPA09_1,20121023OCUP01,2012-10-23,São Paulo,Sao_Paulo,Trabalhadores,,Patronato,Comércio e Serviço,Protestar_contra_a_falta_de_informacao_sobre_o_fechamento_do_jornal,,Local,1,Capitais,99,,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20121028FSPA08_1,20121027TERR01,2012-10-27,São Paulo,Higienopolis,Moradores,,Gov. Municipal,,Protetar_contra_a_violencia,,Local,1,Capitais,50,2012-10-27,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,Não
20121030FSPC08_1,20121029TERR01,2012-10-29,São Paulo,Sao_Paulo,Sem Teto,,Gov. Municipal,,Moradia,,Municipal,11,Ocupações,99,,Frente de Luta por Moradia,,,Ocupação de Imóvel Privado,NM,NM,NM,NM,NM,NM,NM
